race_id,date,round
19800810,1980-08-10,9
19800817,1980-08-17,10
19800831,1980-08-31,11
19800914,1980-09-14,12
19800928,1980-09-28,13
19801005,1980-10-05,14
19810315,1981-03-15,1
19810329,1981-03-29,2
19810412,1981-04-12,3
19810503,1981-05-03,4
19810517,1981-05-17,5
19810531,1981-05-31,6
19810621,1981-06-21,7
19810705,1981-07-05,8
19810718,1981-07-18,9
19810802,1981-08-02,10
19810816,1981-08-16,11
19810830,1981-08-30,12
19810913,1981-09-13,13
19810927,1981-09-27,14
19811017,1981-10-17,15
19820123,1982-01-23,1
19820321,1982-03-21,2
19820404,1982-04-04,3
19820425,1982-04-25,4
19820509,1982-05-09,5
19820523,1982-05-23,6
19820606,1982-06-06,7
19820613,1982-06-13,8
19820703,1982-07-03,9
19820718,1982-07-18,10
19820725,1982-07-25,11
19820808,1982-08-08,12
19820815,1982-08-15,13
19820829,1982-08-29,14
19820912,1982-09-12,15
19820925,1982-09-25,16
19830313,1983-03-13,1
19830327,1983-03-27,2
19830417,1983-04-17,3
19830501,1983-05-01,4
19830515,1983-05-15,5
19830522,1983-05-22,6
19830605,1983-06-05,7
19830612,1983-06-12,8
19830716,1983-07-16,9
19830807,1983-08-07,10
19830814,1983-08-14,11
19830828,1983-08-28,12
19830911,1983-09-11,13
19830925,1983-09-25,14
19831015,1983-10-15,15
19840325,1984-03-25,1
19840407,1984-04-07,2
19840429,1984-04-29,3
19840506,1984-05-06,4
19840520,1984-05-20,5
19840603,1984-06-03,6
19840617,1984-06-17,7
19840624,1984-06-24,8
19840708,1984-07-08,9
19840722,1984-07-22,10
19840805,1984-08-05,11
19840819,1984-08-19,12
19840826,1984-08-26,13
19840909,1984-09-09,14
19841007,1984-10-07,15
19841021,1984-10-21,16
19850407,1985-04-07,1
19850421,1985-04-21,2
19850505,1985-05-05,3
19850519,1985-05-19,4
19850616,1985-06-16,5
19850623,1985-06-23,6
19850707,1985-07-07,7
19850721,1985-07-21,8
19850804,1985-08-04,9
19850818,1985-08-18,10
19850825,1985-08-25,11
19850908,1985-09-08,12
19850915,1985-09-15,13
19851006,1985-10-06,14
19851019,1985-10-19,15
19851103,1985-11-03,16
19860323,1986-03-23,1
19860413,1986-04-13,2
19860427,1986-04-27,3
19860511,1986-05-11,4
19860525,1986-05-25,5
19860615,1986-06-15,6
19860622,1986-06-22,7
19860706,1986-07-06,8
19860713,1986-07-13,9
19860727,1986-07-27,10
19860810,1986-08-10,11
19860817,1986-08-17,12
19860907,1986-09-07,13
19860921,1986-09-21,14
19861012,1986-10-12,15
19861026,1986-10-26,16
19870412,1987-04-12,1
19870503,1987-05-03,2
19870517,1987-05-17,3
19870531,1987-05-31,4
19870621,1987-06-21,5
19870705,1987-07-05,6
19870712,1987-07-12,7
19870726,1987-07-26,8
19870809,1987-08-09,9
19870816,1987-08-16,10
19870906,1987-09-06,11
19870920,1987-09-20,12
19870927,1987-09-27,13
19871018,1987-10-18,14
19871101,1987-11-01,15
19871115,1987-11-15,16
19880403,1988-04-03,1
19880501,1988-05-01,2
19880515,1988-05-15,3
19880529,1988-05-29,4
19880612,1988-06-12,5
19880619,1988-06-19,6
19880703,1988-07-03,7
19880710,1988-07-10,8
19880724,1988-07-24,9
19880807,1988-08-07,10
19880828,1988-08-28,11
19880911,1988-09-11,12
